Station Name,Latitude,Longitude,EV Level2 EVSE Num
Roaring Fork High School,39.387753,-107.203871,2.0
CVC CNTR GARAGE CC 4,33.608886,-117.872048,1.0
GRANUM PARTNERS NATIONAL 3,36.858124,-119.788285,1.0
ENERGY MONSTER ENERGY 2,42.254157,-71.805319,2.0
Shawnee Forest Cabins - Tesla Destination,37.5807176,-88.367418,2.0
Marco Beach Ocean Resort - Tesla Destination,25.925468,-81.728497,3.0
6 Depot St,41.425389,-74.167071,10.0
CHEEKTOWAGA BROADWAY #3,42.902649,-78.75321,1.0
Arcadia Ales,42.295171,-85.571314,2.0
HVCC Garage Level 2,42.69487,-73.6859,8.0
Le Phare du Nord,47.592442,-79.485165,1.0
"Tanger Outlets - Daytona Beach, Daytona Beach FL Polo Ralph Lauren Factory Store",29.214746007,-81.098180822,2.0
Aurora Shopping Center,47.7253287,-122.3465598,1.0
BWP EV CHARGE WR #1,34.181061,-118.31008,1.0
PICOTTE 12 CORPORATE 1,42.685856,-73.766365,2.0
GWV STATION 04,41.257673,-75.807676,2.0
BELLEVUE PLACE BELL PLACE #2,47.618421,-122.20129,2.0
Door County Visitor Center,44.820388,-87.400487,2.0
PENNVIEWSUITES1 STATION 1,40.541181,-78.401654,2.0
Fuccillo Nissan,27.911345,-82.728797,1.0
DogFish Head Brewery - Tesla Destination,38.770321,-75.310107,3.0
3RD FLOOR GREENWAY-2,41.889364,-87.630365,2.0
FESTIVAL TOWER EV 2,43.646675,-79.39089,2.0
Bedford Village Inn - Tesla Destination,42.956515,-71.508656,1.0
PEPPER PARK A05-A06,32.650338,-117.110584,2.0
AVION BURBANK 3001-SINGLE,34.202662,-118.348773,1.0
AMZ SEA41-10,47.616069,-122.339836,2.0
59-29th Ave & Georgia Parking Garage,33.51615,-112.12162,2.0
OXNARD STATIONS CS OXNARD 1,34.146646,-119.168499,2.0
AULANI: DISNEY P3 SP 394 & 395,21.340109,-158.124143,2.0
FCRTA - Parlier Police,36.60782,-119.54678,2.0
USC CAMPUS SPS L1 CENTR #3,34.064285,-118.201224,2.0
Church of the Saviour United Methodist,39.2480643832291,-84.346678372481,2.0
Nob Hill Foods,36.91896,-121.780939,1.0
FHC EV STATION 2,37.401051,-122.137143,2.0
Montefiore Nyack Hospital,41.096789577353,-73.9256975509255,8.0
Marriott Garage,39.287168,-76.621895,3.0
DoubleTree by Hilton,42.5805020017583,-83.2439165523946,1.0
Best Western Paint Pony Lodge,34.2464074570637,-110.048786496894,1.0
CLIMATE FIRST CLIMATE FIRST 1,27.771248,-82.705639,2.0
AUXSERVICES CHARGER#2,33.907974,-118.012603,2.0
CALOGY VE1,45.391018,-71.9749,2.0
Nissan of LaGrange,33.048536,-85.018055,1.0
Kerman City Hall,36.72212,-120.05975,2.0
LYNX VENTURES LEFT CHARGER,37.517325,-77.430902,2.0
DCMH STATION 2,39.343414,-85.47877,1.0
